Character_Name	Ideals	Origin
Blade	Heroic	Marvel Comics
Blastaar	Villainous	Marvel Comics
Blink	Heroic	Marvel Comics
Blitzkrieg	Heroic	Marvel Comics
Blizzard II	Villainous	Marvel Comics
Blob	Villainous	Marvel Comics
Blockbuster	Villainous	Marvel Comics
Blok	Heroic	DC Universe
Bloodscream	Villainous	Marvel Comics
Blue Beetle	Heroic	DC Universe
Blue Eagle	Heroic	Marvel Comics
Blue Jay	Heroic	DC Universe
Blue Shield	Heroic	Marvel Comics
Blue Streak	Heroic	Marvel MC2
Bolt	Heroic	Marvel Comics
Boomerang	Villainous	Marvel Comics
Boomslang	Villainous	Marvel Comics
Booster Gold	Heroic	DC Universe
Box I	Heroic	Marvel Comics
Brainiac	Villainous	DC Universe
Brainiac 5	Heroic	DC Universe
Brother Voodoo	Heroic	Marvel Comics
Brothers Grimm	Villainous	Marvel Comics
Bulldozer	Villainous	Marvel Comics
Bullseye	Villainous	Marvel Comics
Bushmaster	Villainous	Marvel Comics
Bushwacker	Villainous	Marvel Comics
Letter C	Return to Top
Caber	Villainous	Marvel Comics
Cable	Heroic	Marvel Comics
Cage	Heroic	Marvel Comics
Caliban	Heroic	Marvel Comics
Callisto	Heroic	Marvel Comics
Calypso	Villainous	Marvel Comics
Cannonball	Heroic	Marvel Comics
Captain America	Heroic	Marvel Comics
Captain Atom	Heroic	DC Universe
Captain Boomerang	Villainous	DC Universe
Captain Britain I	Heroic	Marvel Comics
Captain Britain II	Heroic	Marvel Comics
Captain Cold	Villainous	DC Universe
Captain Mar-Vell	Heroic	Marvel Comics
Captain Marvel	Heroic	DC Universe
Captain Marvel Jr	Heroic	DC Universe
Captain Trips		Wildcards
Captain Ultra	Heroic	Marvel Comics
Captain Universe	Cosmic Entity	Marvel Comics
Cardiac	Heroic	Marvel Comics
Carnage	Villainous	Marvel Comics
Carnifex		Wildcards
Carnivore	Villainous	Marvel Comics
Carrion	Villainous	Marvel Comics
Catseye	Heroic	Marvel Comics
Catspaw	Heroic	DC Universe
Catwoman	Villainous	DC Universe
Cecilia Reyes	Heroic	Marvel Comics
Celestials	Cosmic Entity	Marvel Comics
Cerberus	Greek Pantheon	Marvel Comics
Cerise	Heroic	Marvel Comics
Chamber	Heroic	Marvel Comics
Chameleon Boy	Heroic	DC Universe
Champion	Elders of the Universe	Marvel Comics
Chance	Villainous	Marvel Comics
Changeling	Heroic	Marvel Comics
Changeling	Heroic	DC Universe
Charcoal	Heroic	Marvel Comics
Cheetah	Villainous	DC Universe
Chief Examiner	Cosmic Entity	Marvel Comics
Chimaera	Greek Pantheon	Marvel Comics
Chthon	Cosmic Entity	Marvel Comics
Cir El	Heroic	DC Universe
Circe	Villainous	DC Universe
Citizen V	Heroic	Marvel Comics
Clayface I	Villainous	DC Universe
Clayface - Cartoon	Villainous	DC Universe
Clea	Heroic	Marvel Comics
Cloak	Heroic	Marvel Comics
Coachwhip	Villainous	Marvel Comics
Cobra	Villainous	Marvel Comics
Collector	Elders of the Universe	Marvel Comics
Colossus	Heroic	Marvel Comics
Cometman	Heroic	Marvel Comics
Conquest	Villainous	Marvel Comics
Constrictor	Villainous	Marvel Comics
Contemplator	Elders of the Universe	Marvel Comics
Controller	Villainous	Marvel Comics
Copperhead	Villainous	Marvel Comics
Copperhead	Villainous	Dc Universe
Corruptor	Villainous	Marvel Comics
Cosmic Boy	Heroic	DC Universe
Cosmic Traveller		Wildcards
Cottonmouth	Villainous	Marvel Comics
Count Nefaria	Villainous	Marvel Comics
Creeper	Heroic	DC Universe
Crimson Commando	Villainous	Marvel Comics
Crimson Cowl	Villainous	Marvel Comics
Crimson Curse	Heroic	Marvel MC2
Crimson Dynamo	Villainous	Marvel Comics
Cronus	Greek Pantheon	Marvel Comics
Crossfire	Villainous	Marvel Comics
Crusader	Villainous	Marvel Comics
Crystal	Heroic	Marvel Comics
Cyber	Villainous	Marvel Comics
Cyborg I	Heroic	DC Universe
Cyborg II	Villainous	DC Universe
Cyclone I	Villainous	Marvel Comics
Cyclone II	Villainous	Marvel Comics
Cyclone		Wildcards
Cyclops	Heroic	Marvel Comics
Cypher	Heroic	Marvel Comics
Letter D	Return to Top
Dagger	Heroic	Marvel Comics
Dansen Macabre	Villainous	Marvel Comics
Daredevil	Heroic	Marvel Comics
Dark Angel	Heroic	Marvel Comics
Darkhawk	Heroic	Marvel Comics
Darkling	Villainous	Marvel Comics
Darkoth	Villainous	Marvel Comics
Darkseid	Villainous	DC Universe
Darkstar	Heroic	Marvel Comics
Dawnstar	Heroic	DC Universe
Dazzler	Heroic	Marvel Comics
Deadman	Heroic	DC Universe
Deadpool	Villainous	Marvel Comics
Deadshot	Villainous	DC Universe
Death	Cosmic Entity	Marvel Comics
Death Adder	Villainous	Marvel Comics
Deathbird	Villainous	Marvel Comics
Deathcry	Heroic	Marvel Comics
Deathlok	Villainous	Marvel Comics
Deaths Head I	Heroic	Marvel Comics
Deaths Head II	Heroic	Marvel Comics
Deathstroke	Villainous	DC Universe
Deathurge	Villainous	Marvel Comics
Deathwatch	Villainous	Marvel Comics
Decay	Villainous	Marvel Comics
Demogoblin	Villainous	Marvel Comics
Desaad	Villainous	DC Universe
Despero	Villainous	DC Universe
Destiny	Villainous	Marvel Comics
Destroyer	Asgardian Pantheon	Marvel Comics
Devil Slayer	Heroic	Marvel Comics
Diablo	Villainous	Marvel Comics
Diamond Back	Heroic	Marvel Comics
Diamond Lil	Villainous	Marvel Comics
Digger	Villainous	Marvel Comics
Dionysus	Greek Pantheon	Marvel Comics
Disruptor	Villainous	DC Universe
Dman	Heroic	Marvel Comics
Doc Samson	Heroic	Marvel Comics
Doctor Decibel	Heroic	Marvel Comics
Doctor Demonicus	Villainous	Marvel Comics
Doctor Doom	Villainous	Marvel Comics
Doctor Double X	Villainous	DC Universe
Doctor Druid	Heroic	Marvel Comics
Doctor Fate I	Heroic	DC Universe
Doctor Fate III	Heroic	DC Universe
Doctor Fate IV	Heroic	DC Universe
Doctor Light I	Villainous	DC Universe
Doctor Light II	Heroic	DC Universe
Doctor Manhatten	Heroic	DC Universe
Doctor Mid-Nite II	Heroic	DC Universe
Doctor Octopus	Villainous	Marvel Comics
Doctor Polaris	Villainous	DC Universe
Doctor Pym	Heroic	Marvel Comics
Doctor Spectrum	Heroic	Marvel Comics
Doctor Strange	Heroic	Marvel Comics
Doctor Sun	Villainous	Marvel Comics
Doctor Tachyon		Wildcards
Dolphin	Heroic	DC Universe
Domino	Heroic	Marvel Comics
Donald Pierce	Villainous	Marvel Comics
Doomsday	Villainous	DC Universe
Dormammu	Villainous	Marvel Comics
Douglock	Heroic	Marvel Comics
Dove	Heroic	DC Universe
Dove II 	Heroic	DC Universe
Dracula	Villainous	Marvel Comics
Dragon Man	Villainous	Marvel Comics
Drax	Heroic	Marvel Comics
Dreadnaught	Villainous	Marvel Comics
Dream Girl	Heroic	DC Universe
Dreamkiller	Villainous	Marvel Comics
D'spayre 	Villainous	Marvel Comics
Letter E	Return to Top
Eclipso	Villainous	DC Universe
Egghead	Villainous	Marvel Comics
Ego, the Living Planet	Elders of the Universe	Marvel Comics
Electro	Villainous	Marvel Comics
Elektra	Heroic	Marvel Comics
Elongated Man	Heroic	DC Universe
Emma Frost	Heroic	Marvel Comics
Empath	Heroic	Marvel Comics
Emplate	Villainous	Marvel Comics
Empress	Heroic	DC Universe
Empyrean	Villainous	Marvel Comics
Enchantress	Villainous Pantheon	Marvel Comics
Eon	Cosmic Entity	Marvel Comics
Eradicator	Heroic	DC Universe
Eternity	Cosmic Entity	Marvel Comics
Executioner	Asgardian Pantheon	Marvel Comics
Exodus	Villainous	Marvel Comics
Letter F	Return to Top
Fabian Cortez	Villainous	Marvel Comics
Fafnir	Asgardian Pantheon	Marvel Comics
Faith	Heroic	DC Universe
Falcon	Heroic	Marvel Comics
Fandral, the Dashing	Asgardian Pantheon	Marvel Comics
Fatale	Villainous	Marvel Comics
Fenris Wolf	Asgardian Pantheon	Marvel Comics
Fer De Lance 	Villainous	Marvel Comics
Feral	Villainous	Marvel Comics
Ferro	Heroic	DC Universe
Fin Fang Foom	Villainous	Marvel Comics
Fire	Heroic	DC Universe
Firebird	Heroic	Marvel Comics
Firebrand	Villainous	DC Universe
Firelord	Heroic	Marvel Comics
Firestar	Heroic	Marvel Comics
Firestorm	Heroic	DC Universe
Fixer	Villainous	Marvel Comics
Flagsmasher	Villainous	Marvel Comics
Flash I	Heroic	DC Universe
Flash III	Heroic	DC Universe
Flex	Heroic	Marvel Comics
Flux	Villainous	Marvel Comics
Fly	Villainous	Marvel Comics
Foolkiller	Villainous	Marvel Comics
Force	Heroic	Marvel Comics
Foreigner	Villainous	Marvel Comics
Forge	Heroic	Marvel Comics
Foxfire	Heroic	Marvel Comics
Frankensteins Monster	Villainous	Marvel Comics
Freebooter	Heroic	Marvel MC2
Frenzy	Villainous	Marvel Comics
Frey	Asgardian Pantheon	Marvel Comics
Frigga	Asgardian Pantheon	Marvel Comics
Letter G	Return to Top
Gaea	Cosmic Entity	Marvel Comics
Galactus	Cosmic Entity	Marvel Comics
Galactus Cat	Pet	Marvel Comics
Gambit	Heroic	Marvel Comics
Gamora	Heroic	Marvel Comics
Ganthet	Heroic	DC Universe
Gardner	Elders of the Universe	Marvel Comics
Garm	Asgardian Pantheon	Marvel Comics
Garrok	Villainous	Marvel Comics
Gates	Heroic	DC Universe
Gateway	Heroic	Marvel Comics
Geb	Heliopolitan Pantheon	Marvel Comics
Geirrodur	Asgardian Pantheon	Marvel Comics
General	Villainous	DC Universe
Geoforce	Heroic	DC Universe
Ghaur	Villainous	Marvel Comics
Ghost	Villainous	Marvel Comics
Ghost Rider - Daniel Ketch	Heroic	Marvel Comics
Ghost Rider - Hamilton Slade	Heroic	Marvel Comics
Ghost Rider - Johnny Blaze	Heroic	Marvel Comics
Giantman I	Heroic	Marvel Comics
Giantman II	Heroic	Marvel Comics
Gideon	Villainous	Marvel Comics
Gilgamesh	Heroic	Marvel Comics
Girder	Villainous	DC Universe
Gladiator	Heroic	Marvel Comics
Glorian	Heroic	Marvel Comics
Goblyn	Heroic	Marvel Comics
Goblyn Queen	Villainous	Marvel Comics
Goldenboy		Wildcards
Gorgon	Heroic	Marvel Comics
Gorilla Grodd	Villainous	DC Universe
Gossamer	Heroic	DC Universe
Gossamyr	Heroic	Marvel Comics
Grace	Heroic	DC Universe
Grandmaster	Elders of the Universe	Marvel Comics
Granny Goodness	Villainous	DC Universe
Graviton	Villainous	Marvel Comics
Great And Powerful Turtle		Wildcards
Green Arrow	Heroic	DC Universe
Green Goblin I	Villainous	Marvel Comics
Green Goblin II 	Villainous	Marvel Comics
Green Lantern - Alan Scott 	Heroic	DC Universe
Green Lantern - Guy Gardner	Heroic	DC Universe
Green Lantern - Hal Jordan	Heroic	DC Universe
Green Lantern - John Stewart	Heroic	DC Universe
Green Lantern - Kilowog	Heroic	DC Universe
Green Lantern - Kyle Rainer	Heroic	DC Universe
Gremlin	Villainous	Marvel Comics
Grey Gargoyle	Villainous	Marvel Comics
Grim Reaper	Villainous	Marvel Comics
Guardian	Heroic	DC Universe
Guardian I	Heroic	Marvel Comics
Guardian III	Heroic	Marvel Comics
Guardsman	Heroic	Marvel Comics
Gypsymoth	Villainous	Marvel Comics
Letter H	Return to Top
Hades	Greek Pantheon	Marvel Comics
Halflife	Villainous	Marvel Comics
Halo	Heroic	DC Universe
Hammerhead	Villainous	Marvel Comics
Harbinger	Heroic	DC Universe
Harley Quinn	Villainous	DC Universe
Harpoon	Villainous	Marvel Comics
Harry Leland	Villainous	Marvel Comics
Havok	Heroic	Marvel Comics
Hawk	Heroic	DC Universe
Hawkeye	Heroic	Marvel Comics
Hawkgirl	Heroic	DC Universe
Hawkman	Heroic	DC Universe
Haywire	Heroic	Marvel Comics
Hazard	Villainous	DC Universe
Heimdall	Asgardian Pantheon	Marvel Comics
Hela	Asgardian Pantheon	Marvel Comics
Hellcat	Heroic	Marvel Comics
Hellspawn	Villainous	Marvel Comics
Hellstrom	Heroic	Marvel Comics
Hephaestus	Greek Pantheon	Marvel Comics
Hera	Greek Pantheon	Marvel Comics
Hercules	Greek Pantheon	Marvel Comics
Hermes	Greek Pantheon	Marvel Comics
Hermod	Asgardian Pantheon	Marvel Comics
Hestia	Greek Pantheon	Marvel Comics
High Evolutionary	Heroic	Marvel Comics
Hobgoblin	Villainous	Marvel Comics
Hoder	Asgardian Pantheon	Marvel Comics
Hogun, the Grim	Asgardian Pantheon	Marvel Comics
Holocaust	Villainous	Marvel Comics
Horus	Heliopolitan Pantheon	Marvel Comics
Hourman	Heroic	DC Universe
Hulk	Heroic	Marvel Comics
Hulk - Mr Fixit	Heroic	Marvel Comics
Hulk - Professor	Heroic	Marvel Comics
Human Torch I	Heroic	Marvel Comics
Human Torch II	Heroic	Marvel Comics
Huntress	Heroic	DC Universe
Husk	Heroic	Marvel Comics
Hydroman	Villainous	Marvel Comics
Hyperion	Heroic	Marvel Comics
Hyperstorm	Villainous	Marvel Comics
Hypno Hustler	Villainous	Marvel Comics
Letter I	Return to Top
Ice	Heroic	DC Universe
Iceman	Heroic	Marvel Comics
Idunn	Asgardian Pantheon	Marvel Comics
Ikaris	Heroic	Marvel Comics
Impulse	Heroic	Marvel Comics
Imus Champion	Villainous	Marvel Comics
Inbetweener	Cosmic Entity	Marvel Comics
Indigo	Heroic	DC Universe
Inertia	Heroic	Marvel Comics
Inferno	Villainous	Marvel Comics
Inferno	Heroic	DC Universe
Interloper	Heroic	Marvel Comics
Invisible Kid 	Heroic	DC Universe
Invisible Woman	Heroic	Marvel Comics
Iron Fist	Heroic	Marvel Comics
Iron Monger	Heroic	Marvel Comics
Ironman	Heroic	Marvel Comics
Ironman - Golden Avenger 	Heroic	Marvel Comics
Ironman - Hulkbuster	Heroic	Marvel Comics
Ironman - Hydro Armor	Heroic	Marvel Comics
Ironman - Silver Centurian 	Heroic	Marvel Comics
Ironman - Skin 	Heroic	Marvel Comics
Ironman - Stealth MK II	Heroic	Marvel Comics
Ironman - Stealth MK III	Heroic	Marvel Comics
Isis	Heliopolitan Pantheon	Marvel Comics
Letter J	Return to Top
Jack Frost	Heroic	Marvel Comics
Jack O'Lantern 	Villainous	Marvel Comics
Jack of Hearts	Heroic	Marvel Comics
Jackal	Villainous	Marvel Comics
Jade	Heroic	DC Universe
Jeffries	Heroic	Marvel Comics
Jericho	Heroic	DC Universe
Jersey Devil 	Wrestler	Marvel Comics
Jesse Quick 	Heroic	DC Universe
Jetstream	Heroic	Marvel Comics
JJ Flash 		Wildcards
Jocosta	Heroic	Marvel Comics
Johnny Quick	Heroic	DC Universe
Joker	Villainous	DC Universe
Jolt	Heroic	Marvel Comics
Joystick	Villainous	Marvel Comics
Jubilee	Heroic	Marvel Comics
Judge Dread	Heroic
Juggernaut I	Villainous	Marvel Comics
Juggernaut II 	Heroic	Marvel MC2
Justice	Heroic	Marvel Comics
Letter K	Return to Top
Kaine	Villainous	Marvel Comics
Kalibak	Villainous	DC Universe
Kane	Villainous	Marvel Comics
Kang, the Conquerer	Villainous	Marvel Comics
Kangaroo	Villainous	Marvel Comics
Karate Kid	Heroic	DC Universe
Karkas	Villainous	Marvel Comics
Karma	Heroic	Marvel Comics
Karnak	Heroic	Marvel Comics
Karnilla	Asgardian Panthion	Marvel Comics
Katana	Heroic	DC Universe
Kazar	Heroic	Marvel Comics
Khoryphos	Heroic	Marvel Comics
Kid Flash 	Heroic	DC Universe
Kid Quantum II	Heroic	DC Universe
Killer Croc	Villainous	DC Universe
Killer Frost	Villainous	DC Universe
Killershrike	Villainous	Marvel Comics
Kinetix	Heroic	DC Universe
Kingpin	Villainous	Marvel Comics
Klaw	Villainous	Marvel Comics
Korvac	Villainous	Marvel Comics
Krang	Villainous	Marvel Comics
Kraven	Villainous	Marvel Comics
Kro	Villainous	Marvel Comics
Kubik	Cosmic Entity	Marvel Comics
Kurse	Asgardian Pantheon	Marvel Comics
Kylun	Heroic	Marvel Comics
Letter L	Return to Top
Lady Deathstrike 	Villainous	Marvel Comics
Lady Lark 	Heroic	Marvel Comics
Lady Shiva 	Villainous	DC Universe
Lady Sphinx	Villainous	Marvel Comics
Lamprey	Heroic	Marvel Comics
Leader	Villainous	Marvel Comics
Leech	Heroic	Marvel Comics
Leir	Celtic Pantheon	Marvel Comics
Letha	Wrestler	Marvel Comics
Leviathan	Heroic	DC Universe
Lex Luthor	Villainous	DC Universe
Lifeguard	Heroic	Marvel Comics
Lightmaster	Villainous	Marvel Comics
Lila Cheney 	Heroic	Marvel Comics
Lilandra	Heroic	Marvel Comics
Lilith	Villainous	Marvel Comics
Little John 	Wrestler	Marvel Comics
Live Wire 	Heroic	DC Universe
Living Laser	Villainous	Marvel Comics
Living Lightning 	Heroic	Marvel Comics
Living Monolith 	Villainous	Marvel Comics
Living Mummy 	Villainous	Marvel Comics
Living Tribunal 	Cosmic Entity	Marvel Comics
Lizard	Villainous	Marvel Comics
Lobo	Villainous	DC Universe
Lockheed	Heroic	Marvel Comics
Lockjaw	Heroic	Marvel Comics
Loki	Asgardian Pantheon	Marvel Comics
Longshot	Heroic	Marvel Comics
Looker	Heroic	DC Universe
Lord Chaos 	Cosmic Entity	Marvel Comics
Lorelei	Asgardian Pantheon	Marvel Comics
Letter M	Return to Top
M	Heroic	Marvel Comics
MACH 4 	Heroic	Marvel Comics
Machineman	Heroic	Marvel Comics
Mad Thinker 	Villainous	Marvel Comics
Madame Masque 	Villainous	Marvel Comics
Madcap	Villainous	Marvel Comics
Maddog	Villainous	Marvel Comics
Madelyne Pryor 	Heroic	Marvel Comics
Madrox	Heroic	Marvel Comics
Maelstrom	Villainous	Marvel Comics
Magenta	Heroic	DC Universe
Maggott	Heroic	Marvel Comics
Magik I 	Heroic	Marvel Comics
Magik II 	Heroic	Marvel Comics
Magma	Heroic	Marvel Comics
Magneto	Villainous	Marvel Comics
Magus	Villainous	Marvel Comics
Mainframe	Heroic	Marvel MC2
Major Force 	Villainous	DC Universe
Makkari	Heroic	Marvel Comics
Malekith	Asgardian Pantheon	Marvel Comics
Malice	Villainous	Marvel Comics
Man Ape 	Villainous	Marvel Comics
Mandarin	Villainous	Marvel Comics
Mandrill	Villainous	Marvel Comics
Mandroid	Heroic	Marvel Comics
Mangog	Villainous	Marvel Comics
Manslaughter	Villainous	Marvel Comics
Manthing	Heroic	Marvel Comics
Mantis	Heroic	Marvel Comics
Margali Szardos	Heroic	Marvel Comics
Marrow	Heroic	Marvel Comics
Martian Manhunter 	Heroic	DC Universe
Marvelgirl II 	Heroic	Marvel Comics
Marvelgirl III 	Heroic	Marvel Comics
Mary Marvel 	Heroic	DC Universe
Master	Villainous	Marvel Comics
Master Menace 	Villainous	Marvel Comics
Master Order	Cosmic Entity	Marvel Comics
Mastermind	Villainous	Marvel Comics
Mathemanic	Heroic	Marvel Comics
Matter-Eater Lad 	Heroic	DC Universe
Mauler	Villainous	Marvel Comics
Maverick	Heroic	Marvel Comics
Maxima	Heroic	DC Universe
Maximus	Villainous	Marvel Comics
Mayhem	Heroic	Marvel Comics
Medusa	Heroic	Marvel Comics
Meggan	Heroic	Marvel Comics
Meltdown	Heroic	Marvel Comics
Mentor	Heroic	Marvel Comics
Mephisto	Cosmic Entity	Marvel Comics
Merlin	Heroic	Marvel Comics
Metallo	Villainous	DC Universe
Metamorpho	Heroic	DC Universe
Meteor Man	Villainous	Marvel Comics
Meteorite	Heroic	Marvel Comics
Midgard Serpent	Asgardian Pantheon	Marvel Comics
Mikhail Rasputin 	Villainous	Marvel Comics
Mimic	Heroic	Marvel Comics
Mink	Heroic	Marvel Comics
Mirror Master II 	Villainous	DC Universe
Misfit	Villainous	Marvel Comics
Mister Element 	Villainous	DC Universe
Mister Fantastic	Heroic	Marvel Comics
Mister Fear	Villainous	Marvel Comics
Mister Freeze 	Villainous	DC Universe
Mister Hyde 	Villainous	Marvel Comics
Mister Majestic	Heroic	Image
Mister Mxyzptlk 	Villainous	DC Universe
Mister Nobody 		Wildcards
Mister Sinister 	Villainous	Marvel Comics
Mister Terrific 	Heroic	DC Universe
Mister Yip 	Villainous	Marvel Comics
Mistral		Wildcards
Mockingbird	Heroic	Marvel Comics
Modgud	Asgardian Pantheon	Marvel Comics
MODOK	Villainous	Marvel Comics
Modred the Evil 	Villainous	Marvel Comics
Mojo	Villainous	Marvel Comics
Molecule Man	Villainous	Marvel Comics
Moleman	Villainous	Marvel Comics
Mon El 	Heroic	DC Universe
Mongoose	Villainous	Marvel Universe
Mongul	Villainous	DC Universe
Monstress	Heroic	DC Universe
Moon Knight 	Heroic	Marvel Comics
Moonchild		Wildcards
Moondragon	Heroic	Marvel Comics
Moonglow	Heroic	Marvel Comics
Moonstar	Heroic	Marvel Comics
Moonstone	Heroic	Marvel Comics
Morbius	Heroic	Marvel Comics
Morg	Villainous	Marvel Comics
Morgan Le Fay 	Villainous	Marvel Comics
Morph	Heroic	Marvel Comics
Ms Marvel II 	Heroic	Marvel Comics
Murmur	Heroic	Marvel Comics
Mysterio	Villainous	Marvel Comics
Mystique	Villainous	Marvel Comics
Letter N	Return to Top
Namor	Heroic	Marvel Comics
Namorita	Heroic	Marvel Comics
N'astirh	Villainous	Marvel Comics
Nebulon	Villainous	Marvel Comics
Needle	Villainous	Marvel Comics
Nekra	Villainous	Marvel Comics
Nick Fury 	Heroic	Marvel Comics
Night Thrasher	Heroic	Marvel Comics
Nightcrawler	Heroic	Marvel Comics
Nighthawk I 	Heroic	Marvel Comics
Nighthawk II 	Heroic	Marvel Comics
Nightmare	Villainous	Marvel Comics
Nightwing	Heroic	DC Universe
Nitro	Villainous	Marvel Comics
Nomad	Heroic	Marvel Comics
Northstar	Heroic	Marvel Comics
Northwind	Heroic	DC Universe
Nova - Frankie Raye 	Heroic	Marvel Comics
Nova - Richard Rider	Heroic	Marvel Comics
Nuke	Heroic	Marvel Comics
Nuklo	Heroic	Marvel Comics
Nut	Heliopolitan Pantheon	Marvel Comics
Letter O	Return to Top
Obliterator	Elders of the Universe	Marvel Comics
Obsidian	Villainous	DC Universe
Ocean Master	Villainous	DC Universe
Odin	Asgardian Pantheon	Marvel Comics
Omega Red 	Villainous	Marvel Comics
Onslaught	Villainous	Marvel Comics
Oracle	Heroic	DC Universe
Orion	Heroic	DC Universe
ORKA	Villainous	Marvel Comics
Osiris	Heliopolitan Pantheon	Marvel Comics
Overmind	Villainous	Marvel Comics
Owl	Villainous	Marvel Comics
Ozymandias	Villainous	Marvel Comics
Letter P	Return to Top
Painkiller	Villainous	DC Universe
Parasite	Villainous	DC Universe
Penance	Heroic	Marvel Comics
Penguin	Villainous	DC Universe
Peregrine		Wildcards
Persuasion	Heroic	Marvel Comics
Pete Wisdom	Heroic	Marvel Comics
Phantom Stranger 	Cosmic Entity	DC Universe
Phastos	Heroic	Marvel Comics
Phoenix - Dark 	Villainous	Marvel Comics
Phoenix - Jean Grey 	Heroic	Marvel Comics
Photon II	Heroic	Marvel Comics
Piledriver	Villainous	Marvel Comics
Pinball	Heroic	Marvel Comics
Pip, the Troll 	Heroic	Marvel Comics
Plantman	Villainous	Marvel Comics
Plastic Man 	Heroic	DC Universe
Poison Ivy 	Villainous	DC Universe
Polaris	Heroic	Marvel Comics
Popinjay		Wildcards
Poseidon	Greek Pantheon	Marvel Comics
Possessor	Elders Of the Universe	Marvel Comics
Post	Villainous	Marvel Comics
Poundcakes	Wrestler	Marvel Comics
Power Princess	Heroic	Marvel Comics
Powergirl	Heroic	DC Universe
Powerhouse	Heroic	Marvel Comics
Prime	Heroic	Marvel Comics
Princess Projectra	Heroic	DC Universe
